STATE,Year,WUI_Type,%AREA,%HOUSING,AREA_KM,HOUSING
Georgia,1990.0,WUI (total),0.1882887715234992,0.4417889811242949,28978.58165426056,1165624.0
Hawaii,1990.0,Interface WUI,0.0170299113825972,0.7729637515712782,483.85041011142,301309.0
Hawaii,1990.0,Intermix WUI,0.0343662350801801,0.1373592262897309,976.406545163985,53544.0
Hawaii,1990.0,Non-WUI,0.9486038535372224,0.0896770221389907,26951.5415116187,34957.0
Hawaii,1990.0,WUI (total),0.0513961464627774,0.9103229778610092,1460.2569552754053,354853.0
Idaho,1990.0,Interface WUI,0.0045946038587598,0.3093652241445635,994.4630349026868,127869.0
Idaho,1990.0,Intermix WUI,0.0075266955719252,0.1061822721477183,1629.08941691999,43888.0
Idaho,1990.0,Non-WUI,0.9878787005693148,0.584452503707718,213817.96578846895,241570.0
Idaho,1990.0,WUI (total),0.0121212994306851,0.4155474962922818,2623.5524518226766,171757.0
Illinois,1990.0,Interface WUI,0.0081848620266233,0.0562304786103821,1227.68882560652,253390.0
Illinois,1990.0,Intermix WUI,0.0165801150377161,0.0179787074690292,2486.9352583909404,81017.0
Illinois,1990.0,Non-WUI,0.9752350229356604,0.9257908139205884,146280.430397452,4171868.0
Illinois,1990.0,WUI (total),0.0247649770643395,0.0742091860794114,3714.62408399746,334407.0
Indiana,1990.0,Interface WUI,0.0199283999518093,0.0488480645543323,1879.8581698002,109715.0
Indiana,1990.0,Intermix WUI,0.059967545375325,0.0623491237490238,5656.77527394434,140039.0
Indiana,1990.0,Non-WUI,0.9201040546728656,0.8888028116966437,86793.9788656255,1996292.0
Indiana,1990.0,WUI (total),0.0798959453271344,0.1111971883033562,7536.633443744539,249754.0
Iowa,1990.0,Interface WUI,0.0019716254741136,0.037568562232604,287.355913711243,42966.0
Iowa,1990.0,Intermix WUI,0.0067957264803184,0.0245158345640215,990.447839979072,28038.0
Iowa,1990.0,Non-WUI,0.9912326480455678,0.9379156032033744,144467.885518469,1072665.0
Iowa,1990.0,WUI (total),0.008767351954432,0.0620843967966256,1277.803753690315,71004.0
Kansas,1990.0,Interface WUI,0.0026696310721323,0.1020599322678026,568.897031891683,106562.0
Kansas,1990.0,Intermix WUI,0.0063098375516468,0.0386922092649064,1344.6231924411,40399.0
Kansas,1990.0,Non-WUI,0.9910205313762208,0.8592478584672909,211185.974245243,897151.0
Kansas,1990.0,WUI (total),0.0089794686237792,0.1407521415327091,1913.5202243327833,146961.0
Kentucky,1990.0,Interface WUI,0.0336884063859573,0.1427830997879675,3525.51965173744,215152.0
Kentucky,1990.0,Intermix WUI,0.1361552757007166,0.1884294668662005,14248.7624576595,283934.0
Kentucky,1990.0,Non-WUI,0.830156317913326,0.6687874333458319,86876.5467646876,1007759.0
Kentucky,1990.0,WUI (total),0.169843682086674,0.3312125666541681,17774.28210939694,499086.0
Louisiana,1990.0,Interface WUI,0.0235454100913914,0.2500249090891081,3193.97364618757,429103.0
Louisiana,1990.0,Intermix WUI,0.0740006854632713,0.1352741252539707,10038.3148245067,232163.0
Louisiana,1990.0,Non-WUI,0.902453904445337,0.6147009656569211,122419.358019648,1054975.0
Louisiana,1990.0,WUI (total),0.0975460955546628,0.3852990343430788,13232.288470694271,661266.0
Maine,1990.0,Interface WUI,0.0113194855582897,0.2750436508274493,1037.24267302365,161463.0
Maine,1990.0,Intermix WUI,0.1358280854660625,0.4628708191024538,12446.3859876853,271726.0
Maine,1990.0,Non-WUI,0.8528524289756476,0.2620855300700968,78149.74705079,153856.0
Maine,1990.0,WUI (total),0.1471475710243522,0.7379144699299031,13483.62866070895,433189.0
Maryland,1990.0,Interface WUI,0.0779886080453415,0.1440475454261471,2505.85740009407,272526.0
Maryland,1990.0,Intermix WUI,0.1448393704283981,0.1005530369461239,4653.8439050220695,190238.0
Maryland,1990.0,Non-WUI,0.7771720215262603,0.7553994176277288,24971.3683844108,1429153.0
Maryland,1990.0,WUI (total),0.2228279784737397,0.244600582372271,7159.701305116139,462764.0
Massachusetts,1990.0,Interface WUI,0.0789045247037041,0.246752653261946,2156.85921932258,610148.0
Massachusetts,1990.0,Intermix WUI,0.3051467341029605,0.1499216851463838,8341.20158720441,370713.0
Massachusetts,1990.0,Non-WUI,0.6159487411933353,0.60332566159167,16836.9903508286,1491850.0
Massachusetts,1990.0,WUI (total),0.3840512588066646,0.3966743384083299,10498.06080652699,980861.0
Michigan,1990.0,Interface WUI,0.0204732089778598,0.0970694342874577,5128.26486707193,373516.0
Michigan,1990.0,Intermix WUI,0.071518071328964,0.1127675012461258,17914.3197802404,433921.0
Michigan,1990.0,Non-WUI,0.908008719693176,0.7901630644664164,227444.03289357905,3040489.0
Michigan,1990.0,WUI (total),0.0919912803068239,0.2098369355335835,23042.584647312327,807437.0
Minnesota,1990.0,Interface WUI,0.004523359589376,0.0825834688075652,1018.57936029608,152651.0
Minnesota,1990.0,Intermix WUI,0.0306459804670133,0.0991931055562919,6900.9245369419605,183353.0
Minnesota,1990.0,Non-WUI,0.9648306599436108,0.8182234256361428,217262.540592086,1512441.0
Minnesota,1990.0,WUI (total),0.0351693400563893,0.1817765743638571,7919.50389723804,336004.0
Mississippi,1990.0,Interface WUI,0.0250477407072183,0.2567142671930468,3142.19608971973,259390.0
Mississippi,1990.0,Intermix WUI,0.1097064296294509,0.2382309191299089,13762.4833404408,240714.0
