STATE,Year,WUI_Type,%AREA,AREA_KM,HOUSING
Texas,2020,Non-WUI,0.9343634871013732,649999.27775533,8416031.0
Texas,2020,WUI Total,0.0656365128986266,45660.6947589947,3173293.0
Utah,1990,Interface WUI,0.0059548824144309,1309.38972217851,234938.0
Utah,1990,Intermix WUI,0.0045401300251501,998.306797440546,39898.0
Utah,1990,Non-WUI,0.9895049875604188,217577.371068844,323552.0
Utah,1990,WUI Total,0.0104950124395811,2307.696519619056,274836.0
Utah,2000,Interface WUI,0.0071846693751615,1579.80151115815,317482.0
Utah,2000,Intermix WUI,0.0057321067236749,1260.40467435955,43890.0
Utah,2000,Non-WUI,0.9870832239011637,217044.861402945,407222.0
Utah,2000,WUI Total,0.0129167760988364,2840.2061855177,361372.0
Utah,2010,Interface WUI,0.0085880379363264,1888.38130208142,431329.0
Utah,2010,Intermix WUI,0.0080802546808901,1776.72734663952,57274.0
Utah,2010,Non-WUI,0.9833317073827832,216219.958939741,491106.0
Utah,2010,WUI Total,0.0166682926172166,3665.10864872094,488603.0
Utah,2020,Interface WUI,0.009188021263226,2020.30867646868,508959.0
Utah,2020,Intermix WUI,0.0081661889603163,1795.62301147932,64008.0
Utah,2020,Non-WUI,0.9826457897764576,216069.135900514,578447.0
Utah,2020,WUI Total,0.0173542102235424,3815.931687948,572967.0
Vermont,1990,Interface WUI,0.050506230103213,1257.77313711254,92121.0
Vermont,1990,Intermix WUI,0.1913741350461905,4765.85256328472,92449.0
Vermont,1990,Non-WUI,0.7581196348505964,18879.7007712517,86644.0
Vermont,1990,WUI Total,0.2418803651494036,6023.6257003972605,184570.0
Vermont,2000,Interface WUI,0.0522938988362658,1302.29203519491,99577.0
Vermont,2000,Intermix WUI,0.2304891106426488,5739.94557049389,103914.0
Vermont,2000,Non-WUI,0.7172169905210851,17861.088865960097,90891.0
Vermont,2000,WUI Total,0.2827830094789148,7042.237605688801,203491.0
Vermont,2010,Interface WUI,0.0565685274131869,1408.74450619101,106783.0
Vermont,2010,Intermix WUI,0.278878609779852,6945.00506530721,122020.0
Vermont,2010,Non-WUI,0.6645528628069611,16549.5769001506,93736.0
Vermont,2010,WUI Total,0.3354471371930389,8353.74957149822,228803.0
Vermont,2020,Interface WUI,0.0576145091736405,1434.79293145498,111514.0
Vermont,2020,Intermix WUI,0.280948961719259,6996.5637155654895,124546.0
Vermont,2020,Non-WUI,0.6614365291071003,16471.969824628402,98258.0
Vermont,2020,WUI Total,0.3385634708928996,8431.35664702047,236060.0
Virginia,1990,Interface WUI,0.054822940448003,6073.62835422444,463225.0
Virginia,1990,Intermix WUI,0.1864107437156507,20651.748507310906,461308.0
Virginia,1990,Non-WUI,0.7587663158363464,84060.8798512907,1571801.0
Virginia,1990,WUI Total,0.2412336841636537,26725.37686153534,924533.0
Virginia,2000,Interface WUI,0.0596643446462338,6609.98940258019,583721.0
Virginia,2000,Intermix WUI,0.2290513581989702,25375.7425698526,529521.0
Virginia,2000,Non-WUI,0.7112842971547959,78800.52474039327,1790950.0
Virginia,2000,WUI Total,0.288715702845204,31985.73197243279,1113242.0
Virginia,2010,Interface WUI,0.0657486701550919,7284.04905032899,713286.0
Virginia,2010,Intermix WUI,0.2597227766309561,28773.714206005297,602207.0
Virginia,2010,Non-WUI,0.6745285532139521,74728.4934564926,2049446.0
Virginia,2010,WUI Total,0.325471446786048,36057.763256334285,1315493.0
Virginia,2020,Interface WUI,0.0664151831230579,7357.88952710054,764653.0
Virginia,2020,Intermix WUI,0.2583184864557803,28618.1381541591,625147.0
Virginia,2020,Non-WUI,0.6752663304211615,74810.22903156771,2228447.0
Virginia,2020,WUI Total,0.3247336695788383,35976.02768125964,1389800.0
Washington,1990,Interface WUI,0.0159272091281538,2941.2414211528603,400618.0
Washington,1990,Intermix WUI,0.0454727662170704,8397.35213218433,260719.0
Washington,1990,Non-WUI,0.9386000246547757,173329.128047289,1371041.0
Washington,1990,WUI Total,0.0613999753452242,11338.593553337188,661337.0
Washington,2000,Interface WUI,0.0203121219829557,3750.99328746644,539960.0
Washington,2000,Intermix WUI,0.0487861901598672,9009.23458239762,253413.0
Washington,2000,Non-WUI,0.930901687857177,171907.493730763,1657702.0
Washington,2000,WUI Total,0.0690983121428229,12760.227869864058,793373.0
Washington,2010,Interface WUI,0.0220939353748973,4080.0367068738,649526.0
Washington,2010,Intermix WUI,0.0565943475665829,10451.1492205949,309207.0
Washington,2010,Non-WUI,0.9213117170585196,170136.535673159,1926944.0
Washington,2010,WUI Total,0.0786882829414802,14531.1859274687,958733.0
Washington,2020,Interface WUI,0.0227096957128552,4193.74776553651,713905.0
Washington,2020,Intermix WUI,0.0589648566131749,10888.9057252627,329461.0
Washington,2020,Non-WUI,0.9183254476739696,169585.068109828,2158875.0
Washington,2020,WUI Total,0.0816745523260302,15082.65349079921,1043366.0
West Virginia,1990,Interface WUI,0.0432773481698297,2715.89197828924,393673.0
West Virginia,1990,Intermix WUI,0.1859190478074507,11667.4443306912,224464.0
West Virginia,1990,Non-WUI,0.7708036040227195,48372.1718989506,163158.0
West Virginia,1990,WUI Total,0.2291963959772805,14383.33630898044,618137.0
West Virginia,2000,Interface WUI,0.0465522399253611,2921.4094747335803,412813.0
West Virginia,2000,Intermix WUI,0.2155726709972619,13528.3725241743,257476.0
West Virginia,2000,Non-WUI,0.7378750890773768,46305.7262090232,174334.0
West Virginia,2000,WUI Total,0.2621249109226231,16449.781998907878,670289.0
West Virginia,2010,Interface WUI,0.0489826239649025,3073.9294602754403,419396.0
West Virginia,2010,Intermix WUI,0.2325654282342568,14594.7616404359,276841.0
West Virginia,2010,Non-WUI,0.7184519478008407,45086.8171072197,185680.0
West Virginia,2010,WUI Total,0.2815480521991593,17668.69110071134,696237.0
West Virginia,2020,Interface WUI,0.0480936815486622,3018.1434271767102,408126.0
West Virginia,2020,Intermix WUI,0.2150899612420516,13498.0798281692,257682.0
West Virginia,2020,Non-WUI,0.736816357209286,46239.2849525854,189827.0
West Virginia,2020,WUI Total,0.2631836427907139,16516.22325534591,665808.0
Wisconsin,1990,Interface WUI,0.0145543667574937,2468.9443293326003,210624.0
Wisconsin,1990,Intermix WUI,0.0523768679345531,8885.00154145391,227834.0
Wisconsin,1990,Non-WUI,0.9330687653079532,158282.038330408,1617310.0
Wisconsin,1990,WUI Total,0.0669312346920469,11353.945870786512,438458.0
Wisconsin,2000,Interface WUI,0.0168915335826906,2865.41192396728,247817.0
Wisconsin,2000,Intermix WUI,0.0606166560950853,10282.7661156752,249613.0
Wisconsin,2000,Non-WUI,0.922491810322224,156487.80616155302,1823714.0
Wisconsin,2000,WUI Total,0.077508189677776,13148.17803964248,497430.0
Wisconsin,2010,Interface WUI,0.019767632792103,3353.30184401623,279937.0
Wisconsin,2010,Intermix WUI,0.0732245218372779,12421.5138295286,296356.0
Wisconsin,2010,Non-WUI,0.907007845370619,153861.168527651,2048065.0
Wisconsin,2010,WUI Total,0.0929921546293809,15774.815673544832,576293.0
Wisconsin,2020,Interface WUI,0.0204093657711329,3462.16284950834,289289.0
Wisconsin,2020,Intermix WUI,0.0739760000286213,12548.9915721229,296695.0
Wisconsin,2020,Non-WUI,0.9056146342002456,153624.829779565,2141742.0
Wisconsin,2020,WUI Total,0.0943853657997542,16011.15442163124,585984.0
Wyoming,1990,Interface WUI,0.0022493452221029,569.818170955279,130662.0
Wyoming,1990,Intermix WUI,0.0037944208285904,961.22636718282,27266.0
Wyoming,1990,Non-WUI,0.9939562339493065,251795.196963623,45483.0
Wyoming,1990,WUI Total,0.0060437660506933,1531.0445381380991,157928.0
Wyoming,2000,Interface WUI,0.0026072266262288,660.478921965871,143159.0
Wyoming,2000,Intermix WUI,0.0047051760337011,1191.94456022169,31629.0
Wyoming,2000,Non-WUI,0.99268759734007,251473.818019574,49066.0
Wyoming,2000,WUI Total,0.00731240265993,1852.4234821875607,174788.0
Wyoming,2010,Interface WUI,0.0031108631968367,788.06328148081,168552.0
Wyoming,2010,Intermix WUI,0.0064191113487125,1626.12935175066,38959.0
Wyoming,2010,Non-WUI,0.9904700254544508,250912.04886853,54357.0
Wyoming,2010,WUI Total,0.0095299745455493,2414.1926332314697,207511.0
Wyoming,2020,Interface WUI,0.0034308742600614,869.1304813665021,178712.0
Wyoming,2020,Intermix WUI,0.0063933802963843,1619.61100097448,38996.0
Wyoming,2020,Non-WUI,0.990175745443554,250837.500019421,54179.0
Wyoming,2020,WUI Total,0.0098242545564458,2488.741482340982,217708.0
