STATE,Year,WUI_Type,%AREA,AREA_KM,HOUSING
Georgia,2000,WUI Total,0.2291513316718038,35267.53359907663,1449011.0
Georgia,2010,Interface WUI,0.0536828931723624,8262.06518129039,892380.0
Georgia,2010,Intermix WUI,0.2064534605832263,31774.2179573836,924209.0
Georgia,2010,Non-WUI,0.7398636462444113,113868.707688906,2272212.0
Georgia,2010,WUI Total,0.2601363537555887,40036.28313867399,1816589.0
Georgia,2020,Interface WUI,0.0544138944815904,8374.5699310821,963865.0
Georgia,2020,Intermix WUI,0.2053593250835008,31605.825043334306,956181.0
Georgia,2020,Non-WUI,0.7402267804349087,113924.595853164,2490910.0
Georgia,2020,WUI Total,0.2597732195650912,39980.3949744164,1920046.0
Hawaii,1990,Interface WUI,0.0170299113825972,483.85041011142,301309.0
Hawaii,1990,Intermix WUI,0.0343662350801801,976.406545163985,53544.0
Hawaii,1990,Non-WUI,0.9486038535372224,26951.5415116187,34957.0
Hawaii,1990,WUI Total,0.0513961464627774,1460.2569552754053,354853.0
Hawaii,2000,Interface WUI,0.0186967682438119,531.208811325412,352317.0
Hawaii,2000,Intermix WUI,0.0436123573756527,1239.1055084232098,67106.0
Hawaii,2000,Non-WUI,0.9376908743805352,26641.4841471455,41119.0
Hawaii,2000,WUI Total,0.0623091256194647,1770.3143197486218,419423.0
Hawaii,2010,Interface WUI,0.0202367311657933,574.961927511238,383533.0
Hawaii,2010,Intermix WUI,0.0505070587069001,1434.99637313604,87315.0
Hawaii,2010,Non-WUI,0.9292562101273064,26401.840166246897,48660.0
Hawaii,2010,WUI Total,0.0707437898726935,2009.9583006472776,470848.0
Hawaii,2020,Interface WUI,0.0210679916962684,598.579534176579,411469.0
Hawaii,2020,Intermix WUI,0.0482397647089122,1370.57847300001,96724.0
Hawaii,2020,Non-WUI,0.9306922435948192,26442.6404597176,52873.0
Hawaii,2020,WUI Total,0.0693077564051807,1969.1580071765889,508193.0
Idaho,1990,Interface WUI,0.0045946038587598,994.4630349026868,127869.0
Idaho,1990,Intermix WUI,0.0075266955719252,1629.08941691999,43888.0
Idaho,1990,Non-WUI,0.9878787005693148,213817.96578846895,241570.0
Idaho,1990,WUI Total,0.0121212994306851,2623.5524518226766,171757.0
Idaho,2000,Interface WUI,0.005713220121801,1236.57803720359,169718.0
Idaho,2000,Intermix WUI,0.0107832401489279,2333.94086938362,52976.0
Idaho,2000,Non-WUI,0.983503539729271,212870.999333704,305130.0
Idaho,2000,WUI Total,0.0164964602707289,3570.51890658721,222694.0
Idaho,2010,Interface WUI,0.006883202213414,1489.81073742627,205594.0
Idaho,2010,Intermix WUI,0.0139705087923399,3023.7981336033804,69658.0
Idaho,2010,Non-WUI,0.979146288994246,211927.90936926095,392544.0
Idaho,2010,WUI Total,0.0208537110057539,4513.60887102965,275252.0
Idaho,2020,Interface WUI,0.0073959037097152,1600.78062768978,223077.0
Idaho,2020,Intermix WUI,0.0149619514013469,3238.38747714499,74309.0
Idaho,2020,Non-WUI,0.9776421448889377,211602.350135457,454473.0
Idaho,2020,WUI Total,0.0223578551110622,4839.16810483477,297386.0
Illinois,1990,Interface WUI,0.0081848620266233,1227.68882560652,253390.0
Illinois,1990,Intermix WUI,0.0165801150377161,2486.9352583909404,81017.0
Illinois,1990,Non-WUI,0.9752350229356604,146280.430397452,4171868.0
Illinois,1990,WUI Total,0.0247649770643395,3714.62408399746,334407.0
Illinois,2000,Interface WUI,0.0090743187811537,1361.10293996119,281730.0
Illinois,2000,Intermix WUI,0.0185877069984693,2788.06412392062,80236.0
Illinois,2000,Non-WUI,0.9723379742203768,145845.887417567,4523649.0
Illinois,2000,WUI Total,0.0276620257796231,4149.16706388181,361966.0
Illinois,2010,Interface WUI,0.0097597805632293,1463.91881730857,311199.0
Illinois,2010,Intermix WUI,0.0204041321958242,3060.51892035934,80004.0
Illinois,2010,Non-WUI,0.9698360872409464,145470.616743781,4905512.0
Illinois,2010,WUI Total,0.0301639127590535,4524.4377376679095,391203.0
Illinois,2020,Interface WUI,0.0098049672453783,1470.6965961593398,315646.0
Illinois,2020,Intermix WUI,0.0207058150066122,3105.76984999958,80649.0
Illinois,2020,Non-WUI,0.9694892177480094,145418.588035289,5030134.0
Illinois,2020,WUI Total,0.0305107822519905,4576.46644615892,396295.0
Indiana,1990,Interface WUI,0.0199283999518093,1879.8581698002,109715.0
Indiana,1990,Intermix WUI,0.059967545375325,5656.77527394434,140039.0
Indiana,1990,Non-WUI,0.9201040546728656,86793.9788656255,1996292.0
Indiana,1990,WUI Total,0.0798959453271344,7536.633443744539,249754.0
